,timestamp,SOSC Position
145,2020-06-17 02:00:00,1.0
146,2020-06-17 03:00:00,1.0
147,2020-06-17 04:00:00,1.0
148,2020-06-17 05:00:00,1.0
149,2020-06-17 06:00:00,1.0
150,2020-06-17 07:00:00,1.0
151,2020-06-17 08:00:00,1.0
152,2020-06-17 09:00:00,-1.0
153,2020-06-17 10:00:00,-1.0
154,2020-06-17 11:00:00,0.0
155,2020-06-17 12:00:00,0.0
156,2020-06-17 13:00:00,0.0
157,2020-06-17 14:00:00,0.0
158,2020-06-17 15:00:00,0.0
159,2020-06-17 16:00:00,0.0
160,2020-06-17 17:00:00,0.0
161,2020-06-17 18:00:00,0.0
162,2020-06-17 19:00:00,0.0
163,2020-06-17 20:00:00,0.0
164,2020-06-17 21:00:00,0.0
165,2020-06-17 22:00:00,-1.0
166,2020-06-17 23:00:00,-1.0
167,2020-06-18 00:00:00,0.0
168,2020-06-18 01:00:00,0.0
169,2020-06-18 02:00:00,0.0
170,2020-06-18 03:00:00,0.0
171,2020-06-18 04:00:00,0.0
172,2020-06-18 05:00:00,0.0
173,2020-06-18 06:00:00,0.0
174,2020-06-18 07:00:00,0.0
175,2020-06-18 08:00:00,0.0
176,2020-06-18 09:00:00,0.0
177,2020-06-18 10:00:00,0.0
178,2020-06-18 11:00:00,0.0
179,2020-06-18 12:00:00,0.0
180,2020-06-18 13:00:00,0.0
181,2020-06-18 14:00:00,0.0
182,2020-06-18 15:00:00,0.0
183,2020-06-18 16:00:00,0.0
184,2020-06-18 17:00:00,0.0
185,2020-06-18 18:00:00,0.0
186,2020-06-18 19:00:00,0.0
187,2020-06-18 20:00:00,0.0
188,2020-06-18 21:00:00,0.0
189,2020-06-18 22:00:00,0.0
190,2020-06-18 23:00:00,0.0
191,2020-06-19 00:00:00,0.0
192,2020-06-19 01:00:00,0.0
193,2020-06-19 02:00:00,0.0
194,2020-06-19 03:00:00,0.0
195,2020-06-19 04:00:00,0.0
196,2020-06-19 05:00:00,0.0
197,2020-06-19 06:00:00,0.0
198,2020-06-19 07:00:00,0.0
199,2020-06-19 08:00:00,0.0
200,2020-06-19 09:00:00,0.0
201,2020-06-19 10:00:00,0.0
202,2020-06-19 11:00:00,0.0
203,2020-06-19 12:00:00,0.0
204,2020-06-19 13:00:00,0.0
205,2020-06-19 14:00:00,0.0
206,2020-06-19 15:00:00,1.0
207,2020-06-19 16:00:00,1.0
208,2020-06-19 17:00:00,0.0
209,2020-06-19 18:00:00,0.0
210,2020-06-19 19:00:00,1.0
211,2020-06-19 20:00:00,1.0
212,2020-06-19 21:00:00,0.0
213,2020-06-19 22:00:00,0.0
214,2020-06-19 23:00:00,0.0
215,2020-06-20 00:00:00,0.0
216,2020-06-20 01:00:00,0.0
217,2020-06-20 02:00:00,0.0
218,2020-06-20 03:00:00,0.0
219,2020-06-20 04:00:00,0.0
220,2020-06-20 05:00:00,0.0
221,2020-06-20 06:00:00,0.0
222,2020-06-20 07:00:00,-1.0
223,2020-06-20 08:00:00,-1.0
224,2020-06-20 09:00:00,-1.0
225,2020-06-20 10:00:00,0.0
226,2020-06-20 11:00:00,-1.0
227,2020-06-20 12:00:00,0.0
228,2020-06-20 13:00:00,-1.0
229,2020-06-20 14:00:00,-1.0
230,2020-06-20 15:00:00,-1.0
231,2020-06-20 16:00:00,0.0
232,2020-06-20 17:00:00,0.0
233,2020-06-20 18:00:00,0.0
234,2020-06-20 19:00:00,0.0
235,2020-06-20 20:00:00,0.0
236,2020-06-20 21:00:00,0.0
237,2020-06-20 22:00:00,0.0
238,2020-06-20 23:00:00,0.0
239,2020-06-21 00:00:00,0.0
240,2020-06-21 01:00:00,0.0
241,2020-06-21 02:00:00,0.0
242,2020-06-21 03:00:00,0.0
243,2020-06-21 04:00:00,0.0
244,2020-06-21 05:00:00,0.0
245,2020-06-21 06:00:00,0.0
246,2020-06-21 07:00:00,0.0
247,2020-06-21 08:00:00,0.0
248,2020-06-21 09:00:00,0.0
